Toy Name,Tou Url,Price
Santoki - LEGO Ninjago Legacy Kai Torch,/ip/Santoki-LEGO-Ninjago-Legacy-Kai-Torch/511491226,"Current Price
$19.99
$19.99"
LEGO Ninjago Spinjitzu Jay 70660,/ip/LEGO-Ninjago-Spinjitzu-Jay-70660/532110512,"Current Price
$39.99
$39.99"
Ninjago Mini Turbo Shredder Mini Set LEGO 20020 [Bagged],/ip/Ninjago-Mini-Turbo-Shredder-Mini-Set-LEGO-20020-Bagged/47626175,"Current Price
$14.95
$14.95"
LEGO Ninjago Dragon Hunter 30547,/ip/LEGO-Ninjago-Dragon-Hunter-30547/817165760,"Current Price
$20.52
$20.52"
LEGO Ninjago Kai's Mech Jet 71707 6288956,/ip/LEGO-Ninjago-Kai-s-Mech-Jet-71707-6288956/222625713,"Current Price
$39.99
$39.99"
LEGO Ninjago Accessory Set 2019 Minifigure 3-Pack,/ip/LEGO-Ninjago-Accessory-Set-2019-Minifigure-3-Pack/656487449,"Current Price
$30.09
$30.09"
LEGO Juniors Ninjago Movie Shark Attack 10739 (108 Pieces),/ip/LEGO-Juniors-Ninjago-Movie-Shark-Attack-10739-108-Pieces/794862714,"Current Price
$39.70
$39.70"
LEGO Ninjago Jay - Spinjitzu Master 70635 (68 Pieces),/ip/LEGO-Ninjago-Jay-Spinjitzu-Master-70635-68-Pieces/850823812,"Current Price
$34.98
$34.98"
"LEGO Ninjago: Ninja's Set of 6 - Lloyd, NYA, Zane, Cole, Jay, Kai Skybound Minifigures",/ip/LEGO-Ninjago-Ninja-s-Set-of-6-Lloyd-NYA-Zane-Cole-Jay-Kai-Skybound-Minifigures/435704541,"Current Price
$75.89
$75.89"
Ninjago Jumping Snake Battle Mini Set LEGO 30085 [Bagged],/ip/Ninjago-Jumping-Snake-Battle-Mini-Set-LEGO-30085-Bagged/47626752,"Current Price
$9.15
$9.15"
LEGO 30534 Ninjago Ninja Workout Polybag Set,/ip/LEGO-30534-Ninjago-Ninja-Workout-Polybag-Set/721425033,"Current Price
$8.95
$8.95"
LEGO Ninjago Anacondrai Mini Battle Mech Bagged Set,/ip/LEGO-Ninjago-Anacondrai-Mini-Battle-Mech-Bagged-Set/47767349,"Current Price
$7.94
$7.94
Out of stock"
LEGO Ninjago Manta Ray Bomber 70609,/ip/LEGO-Ninjago-Manta-Ray-Bomber-70609/314281811,"Current Price
$59.99
$59.99"
LEGO Ninjago Spinjitzu Kai 70659,/ip/LEGO-Ninjago-Spinjitzu-Kai-70659/526610924,"Current Price
$34.99
$34.99"
Ninjago Cole Set LEGO 5004393,/ip/Ninjago-Cole-Set-LEGO-5004393/134678874,"Current Price
$14.99
$14.99"
LEGO Ninjago Movie Water Strider 70611 (494 Pieces),/ip/LEGO-Ninjago-Movie-Water-Strider-70611-494-Pieces/937661939,"Current Price
$161.88
$161.88"
Ninjago Accessory Set LEGO 853687 [853687],/ip/Ninjago-Accessory-Set-LEGO-853687-853687/997868328,"Current Price
$30.99
$30.99"
lego ninjago nadakhan with wu djinn blade minifigure,/ip/lego-ninjago-nadakhan-with-wu-djinn-blade-minifigure/197937180,"Current Price
$18.99
$18.99"
LEGO Ninjago Jay - Dragon Master 70646 (92 Pieces),/ip/LEGO-Ninjago-Jay-Dragon-Master-70646-92-Pieces/822287473,New
LEGO Ninjago Spinjitzu Nya & Wu 70663,/ip/LEGO-Ninjago-Spinjitzu-Nya-Wu-70663/221975733,"Current Price
$46.40
$46.40"
LEGO Ninjago Skeleton Bowling Exclusive Set #2519,/ip/LEGO-Ninjago-Skeleton-Bowling-Exclusive-Set-2519/48240763,"Current Price
$84.99
$84.99"
LEGO Ninjago Lord Garmadon 4 Arms and Gold Weapons,/ip/LEGO-Ninjago-Lord-Garmadon-4-Arms-and-Gold-Weapons/782215311,"Current Price
$19.68
$19.68"
LEGO Ninjago Lasha's Bite Cycle Play Set,/ip/LEGO-Ninjago-Lasha-s-Bite-Cycle-Play-Set/21095609,"Current Price
$82.97
$82.97"
LEGO Ninjago Legacy Lloyd Minifigure [No Packaging],/ip/LEGO-Ninjago-Legacy-Lloyd-Minifigure-No-Packaging/831694881,"Current Price
$10.99
$10.99"
LEGO Ninjago Kai - Spinjitzu Master 70633 (61 Pieces),/ip/LEGO-Ninjago-Kai-Spinjitzu-Master-70633-61-Pieces/610698193,"Current Price
$39.98
$39.98"
LEGO Ninjago Cole's Earth Driller Ninja Toy Set 70669,/ip/LEGO-Ninjago-Cole-s-Earth-Driller-Ninja-Toy-Set-70669/410513019,"Current Price
$149.99
$149.99"
LEGO LEGO Ninjago Silver Shoulder Guard with Back Clip Loose Weapon,/ip/LEGO-LEGO-Ninjago-Silver-Shoulder-Guard-with-Back-Clip-Loose-Weapon/48396023,"Current Price
$2.50
$2.50"
Ninjago Accessory Set LEGO 853544,/ip/Ninjago-Accessory-Set-LEGO-853544/132855201,"Current Price
$29.99
$29.99"
LEGO Ninjago Movie Flying Jelly Sub 70610 (341 Pieces),/ip/LEGO-Ninjago-Movie-Flying-Jelly-Sub-70610-341-Pieces/55126276,New
"LEGO Ninjago Movie Destiny's Bounty 70618 (2,295 Pieces)",/ip/LEGO-Ninjago-Movie-Destiny-s-Bounty-70618-2-295-Pieces/355348849,"Current Price
$359.99
$359.99"
LEGO Ninjago Minifigure Set LEGO 40342,/ip/LEGO-Ninjago-Minifigure-Set-LEGO-40342/678777165,"Current Price
$39.99
$39.99"
LEGO Ninjago Killow vs. Samurai X 70642 (556 Pieces),/ip/LEGO-Ninjago-Killow-vs-Samurai-X-70642-556-Pieces/717289752,"Current Price
$209.99
$209.99"
LEGO Ninjago Movie Ice Tank Set,/ip/LEGO-Ninjago-Movie-Ice-Tank-Set/243971842,"Current Price
$20.99
$20.99"
LEGO Ninjago Spinjitzu Cole 70662,/ip/LEGO-Ninjago-Spinjitzu-Cole-70662/623522991,"Current Price
$34.99
$34.99"
Ninjago Kai & Morro Set LEGO 5003085,/ip/Ninjago-Kai-Morro-Set-LEGO-5003085/49312775,"Current Price
$34.99
$34.99"
LEGO Ninjago Cole - Dragon Master 70633 (92 Pieces),/ip/LEGO-Ninjago-Cole-Dragon-Master-70633-92-Pieces/730764678,New
LEGO Ninjago Lloyd - Spinjitzu Master 70628 (48 Pieces),/ip/LEGO-Ninjago-Lloyd-Spinjitzu-Master-70628-48-Pieces/243816144,"Current Price
$72.86
$72.86"
LEGO Ninjago Cole - Spinjitzu Master 70637 (73 Pieces),/ip/LEGO-Ninjago-Cole-Spinjitzu-Master-70637-73-Pieces/990679533,"Current Price
$35.40
$35.40"
LEGO Ninjago Kai Fighter Play Set,/ip/LEGO-Ninjago-Kai-Fighter-Play-Set/30656636,"Current Price
$154.90
$154.90"
LEGO Ninjago Movie Master Falls 70608 (312 Pieces),/ip/LEGO-Ninjago-Movie-Master-Falls-70608-312-Pieces/877034674,"Current Price
$89.99
$89.99"
LEGO Ninjago Kai Fire Mech Play Set,/ip/LEGO-Ninjago-Kai-Fire-Mech-Play-Set/22018290,"Current Price
$88.87
$88.87"
LEGO Ninjago Nindroid MechDragon and Nyas Car with 5 Minifigures Set | 70725,/ip/LEGO-Ninjago-Nindroid-MechDragon-and-Nya-s-Car-with-5-Minifigures-Set-70725/30656643,"Current Price
$253.64
$253.64"
LEGO Ninjago Spinjitzu Slam Zane 70683 Multi 6265507,/ip/LEGO-Ninjago-Spinjitzu-Slam-Zane-70683-Multi-6265507/240124092,"Current Price
$36.75
$36.75"
LEGO Ninjago NINJAGO City Docks70657,/ip/LEGO-Ninjago-NINJAGO-City-Docks-70657/330633288,New
LEGO LEGO Ninjago Lloyd Minifigure [Gold Ninja] [No Packaging],/ip/LEGO-LEGO-Ninjago-Lloyd-Minifigure-Gold-Ninja-No-Packaging/391605731,"Current Price
$29.99
$29.99"
LEGO Ninjago Cole's Tread Assault,/ip/LEGO-Ninjago-Cole-s-Tread-Assault/17767404,"Current Price
$249.99
$249.99"
LEGO? NINJAGO? Ultra Sonic Raider Vehicle w/ Minifigures | 9449,/ip/LEGO-NINJAGO-Ultra-Sonic-Raider-Vehicle-w-Minifigures-9449/21095597,"Current Price
$279.99
$279.99"
Santoki - LEGO Ninjago Legacy Gold Ninja Torch,/ip/Santoki-LEGO-Ninjago-Legacy-Gold-Ninja-Torch/784846168,"Current Price
$19.99
$19.99"
LEGO Ninjago Ninja Bike Chase 70600,/ip/LEGO-Ninjago-Ninja-Bike-Chase-70600/47335750,"Current Price
$89.99
$89.99"
LEGO Ninjago Temple of Airjitzu 70751,/ip/LEGO-Ninjago-Temple-of-Airjitzu-70751/132609020,"Current Price
$890.00
$890.00"
LEGO NINJAGO MINIFIGURE KAI HAIR PIECE RED NINJA SPIKED DARK BROWN HEAD GEAR,/ip/LEGO-NINJAGO-MINIFIGURE-KAI-HAIR-PIECE-RED-NINJA-SPIKED-DARK-BROWN-HEAD-GEAR/345466072,"Current Price
$6.49
$6.49"
LEGO Ninjago Zane - Dragon Master,/ip/LEGO-Ninjago-Zane-Dragon-Master/249349443,New
LEGO Ninjago Temple of Airjitzu 70751,/ip/LEGO-Ninjago-Temple-of-Airjitzu-70751/46295024,"Current Price
$579.99
$579.99"
"LEGO NINJAGO Kryptarium Prison Breakout, 70591",/ip/LEGO-NINJAGO-Kryptarium-Prison-Breakout-70591/51720881,"Current Price
$81.95
$81.95"
LEGO Ninjago The Green NRG Dragon 70593,/ip/LEGO-Ninjago-The-Green-NRG-Dragon-70593/51720884,"Current Price
$181.74
$181.74"
"LEGO Ninjago Tiger Widow Island, 70604",/ip/LEGO-Ninjago-Tiger-Widow-Island-70604/47335765,"Current Price
$154.99
$154.99"
The Ninjago Movie Ninjago Movie Making Kit LEGO 853702,/ip/The-Ninjago-Movie-Ninjago-Movie-Making-Kit-LEGO-853702/635775233,"Current Price
$79.99
$79.99"
LEGO Ninjago Skull Motorbike 2259,/ip/LEGO-Ninjago-Skull-Motorbike-2259/15257191,"Current Price
$109.99
$109.99"
Lego Ninjago Blacksmith Shop 2508,/ip/Lego-Ninjago-Blacksmith-Shop-2508/16672276,"Current Price
$134.99
$134.99"
LEGO Ninjago Ninja Training Outpost Set #2516,/ip/LEGO-Ninjago-Ninja-Training-Outpost-Set-2516/15257185,"Current Price
$59.99
$59.99"
LEGO Ninjago Dragon's Forge 70627,/ip/LEGO-Ninjago-Dragon-s-Forge-70627/55126180,"Current Price
$299.99
$299.99"
The Ninjago Movie Garma Mecha Man Set LEGO 70613,/ip/The-Ninjago-Movie-Garma-Mecha-Man-Set-LEGO-70613/297536083,"Current Price
$209.99
$209.99"
70501 Lego Ninjago Warrior Bike,/ip/70501-Lego-Ninjago-Warrior-Bike/22018286,"Current Price
$99.99
$99.99"
Ninjago Kai's Mini Dragon Mini Set LEGO 30422 [Bagged],/ip/Ninjago-Kai-s-Mini-Dragon-Mini-Set-LEGO-30422-Bagged/161025616,"Current Price
$34.86
$34.86"
LEGO Ninjago Spinjitzu Spinners Spinjitzu 3D Battle Arena Exclusive Set #853106,/ip/LEGO-Ninjago-Spinjitzu-Spinners-Spinjitzu-3D-Battle-Arena-Exclusive-Set-853106/47620171,"Current Price
$70.74
$70.74"
LEGO Ninjago The Lighthouse Siege 70594,/ip/LEGO-Ninjago-The-Lighthouse-Siege-70594/51720883,"Current Price
$259.40
$259.40"
LEGO Ninjago Spinjitzu Dojo 2504,/ip/LEGO-Ninjago-Spinjitzu-Dojo-2504/15257192,"Current Price
$149.95
$149.95"
LEGO Ninjago The Golden Dragon Play Set,/ip/LEGO-Ninjago-The-Golden-Dragon-Play-Set/22018276,Special Buy
LEGO NINJAGO Time Blade Claw,/ip/LEGO-NINJAGO-Time-Blade-Claw/441297588,"Current Price
$149.99
$149.99"
LEGO NINJAGO Legacy The Ultra Dragon 70679 Building Kit (951 Pieces),/ip/LEGO-NINJAGO-Legacy-The-Ultra-Dragon-70679-Building-Kit-951-Pieces/213968825,"Current Price
$249.90
$249.90"
"LEGO Ninjago Titan Mech Battle, 70737",/ip/LEGO-Ninjago-Titan-Mech-Battle-70737/45059373,"Current Price
$249.99
$249.99"
LEGO Ninjago Fangpyre Truck Ambush 9445,/ip/LEGO-Ninjago-Fangpyre-Truck-Ambush-9445/17767405,"Current Price
$224.99
$224.99"
lego ninjago destiny's bounty,/ip/lego-ninjago-destiny-s-bounty/17767406,"Current Price
$330.06
$330.06"
"LEGO Ninjago Master Wu Dragon, 70734",/ip/LEGO-Ninjago-Master-Wu-Dragon-70734/45059369,"Current Price
$229.99
$229.99"
LEGO Ninjago Ultra Stealth Raider 70595,/ip/LEGO-Ninjago-Ultra-Stealth-Raider-70595/51720886,"Current Price
$651.00
$651.00"
LEGO Ninjago Cole Minifigure [Knee Pads] [No Packaging],/ip/LEGO-Ninjago-Cole-Minifigure-Knee-Pads-No-Packaging/764884041,"Current Price
$13.99
$13.99"
LEGO Ninjago Legacy Thunder Raider 71699 6294182,/ip/LEGO-Ninjago-Legacy-Thunder-Raider-71699-6294182/316326086,"Current Price
$169.50
$169.50"
LEGO Ninjago Jungle Raider Toy (Discontinued by manufacturer),/ip/LEGO-Ninjago-Jungle-Raider-Toy-Discontinued-by-manufacturer/498797692,"Current Price
$187.48
$187.48"
Lego Ninjago Mountain Shrine 2254,/ip/Lego-Ninjago-Mountain-Shrine-2254/16672274,"Current Price
$99.99
$99.99"
LEGO LEGO Ninjago Kukri Sword Loose Weapon [Lloyd's Sword],/ip/LEGO-LEGO-Ninjago-Kukri-Sword-Loose-Weapon-Lloyd-s-Sword/459349959,"Current Price
$0.50
$0.50"
LEGO Ninjago Jay Minifigure [Sleeveless with Bandana] [No Packaging],/ip/LEGO-Ninjago-Jay-Minifigure-Sleeveless-with-Bandana-No-Packaging/942700894,"Current Price
$12.95
$12.95"
LEGO Ninjago Airjitzu Kai Flyer,/ip/LEGO-Ninjago-Airjitzu-Kai-Flyer/44898049,"Current Price
$79.99
$79.99"
LEGO Ninjago Skull Truck 2506,/ip/LEGO-Ninjago-Skull-Truck-2506/16672278,"Current Price
$168.69
$168.69"
LEGO Ninjago - Skybound Lloyd with Dual Gold Swords,/ip/LEGO-Ninjago-Skybound-Lloyd-with-Dual-Gold-Swords/852395217,"Current Price
$11.99
$11.99"
LEGO Ninjago Animals Dark Blue Slithering Serpent [Loose],/ip/LEGO-Ninjago-Animals-Dark-Blue-Slithering-Serpent-Loose/48343403,Reduced Price
LEGO Ninjago Rebooted Lloyd Minifigure [Techno Robe] [No Packaging],/ip/LEGO-Ninjago-Rebooted-Lloyd-Minifigure-Techno-Robe-No-Packaging/346060811,"Current Price
$12.49
$12.49"
LEGO Ninjago Destiny's Wing 70650 Ninja Warrior Building Toy,/ip/LEGO-Ninjago-Destiny-s-Wing-70650-Ninja-Warrior-Building-Toy/488217547,New
LEGO Ninjago Samurai VXL 70625,/ip/LEGO-Ninjago-Samurai-VXL-70625/55126179,"Current Price
$38.97
$38.97
Out of stock"
LEGO Ninjago Movie Garmadon's Volcano Lair 70631 (521 Pieces),/ip/LEGO-Ninjago-Movie-Garmadon-s-Volcano-Lair-70631-521-Pieces/229376522,New
LEGO Ninjago Movie Lightning Jet 70614 (876 Pieces),/ip/LEGO-Ninjago-Movie-Lightning-Jet-70614-876-Pieces/482121496,Reduced Price
LEGO Ninjago The Vermillion Attack 70621,/ip/LEGO-Ninjago-The-Vermillion-Attack-70621/55126173,"Current Price
$9.99
$9.99
Out of stock"
LEGO Ninjago Destiny's Shadow 70623,/ip/LEGO-Ninjago-Destiny-s-Shadow-70623/55126176,"Current Price
$29.99
$29.99
Out of stock"
LEGO Ninjago Movie Nunchucks 853700,/ip/LEGO-Ninjago-Movie-Nunchucks-853700/996482956,"Current Price
$149.99
$149.99"
LEGO Ninjago Vermillion Invader 70624,/ip/LEGO-Ninjago-Vermillion-Invader-70624/55126178,"Current Price
$112.01
$112.01"
LEGO Ninjago Cole's Speeder Car 71706 6288954,/ip/LEGO-Ninjago-Cole-s-Speeder-Car-71706-6288954/522210032,"Current Price
$34.20
$34.20"
LEGO 71019 The Ninjago Movie Collectible Minifigure Shark Army Angler,/ip/LEGO-71019-The-Ninjago-Movie-Collectible-Minifigure-Shark-Army-Angler/453776880,"Current Price
$21.13
$21.13"
"LEGO NINJAGO Legacy Kais Blade Cycle & Zanes Snowmobile 70667 Building Kit (376 Pieces), Build Kais Blade Cycle, featuring foldout blades, and Zanes Elemental.., By Visit the LEGO Store",/ip/LEGO-NINJAGO-Legacy-Kai-s-Blade-Cycle-Zane-s-Snowmobile-70667-Building-Kit-376-Pieces-Build-Cycle-featuring-foldout-blades-Elemental-By-Visit-Store/993121026,Reduced Price
LEGO Ninjago Minifigure - Jay Zukin Robe Jungle Blue Ninja with Dual Gold Sai (70749),/ip/LEGO-Ninjago-Minifigure-Jay-Zukin-Robe-Jungle-Blue-Ninja-with-Dual-Gold-Sai-70749/295600289,"Current Price
$19.98
$19.98"
LEGO Ninjago Spinjitzu Slam Jay 70682 Multi 6265504,/ip/LEGO-Ninjago-Spinjitzu-Slam-Jay-70682-Multi-6265504/274411867,"Current Price
$45.80
$45.80"
LEGO Ninjago The Cowler Dragon Mini Set #30294 [Bagged],/ip/LEGO-Ninjago-The-Cowler-Dragon-Mini-Set-30294-Bagged/47767177,"Current Price
$27.99
$27.99"
LEGO Ninjago Kai's Fire Dragon 71701 6288944,/ip/LEGO-Ninjago-Kai-s-Fire-Dragon-71701-6288944/907491047,"Current Price
$51.86
$51.86"
LEGO Ninjago Minifigure - Samurai X - Sons of Garmadon (Limited Edition) Foil Pack,/ip/LEGO-Ninjago-Minifigure-Samurai-X-Sons-of-Garmadon-Limited-Edition-Foil-Pack/533041772,"Current Price
$10.77
$10.77"
LEGO Ninjago Skybound Lloyd Minifigure [No Packaging],/ip/LEGO-Ninjago-Skybound-Lloyd-Minifigure-No-Packaging/646153892,"Current Price
$13.99
$13.99"
LEGO Ninjago Deepstone Minifigures - Kai with Gold and Black Swords,/ip/LEGO-Ninjago-Deepstone-Minifigures-Kai-with-Gold-and-Black-Swords/615474654,"Current Price
$25.87
$25.87"
